Date,Price
21-02-09,42264801.08598
21-02-10,41705422.548317
21-02-11,41231315.715156
21-02-12,40286533.985
21-02-13,38730775.661846
21-02-14,38776226.726890996
21-02-15,40137453.705731
21-02-16,41104652.428105
21-02-17,41161991.28203
21-02-18,41536391.349996
21-02-19,42553782.373648
21-02-20,42955325.480877
21-02-21,43109635.736287996
21-02-22,42994017.19849
21-02-23,42338433.016697
21-02-24,41444075.222936
21-02-25,40757567.719946
21-02-26,39429692.638815
21-02-27,38119945.205243
21-02-28,37502307.478525996
21-03-01,37878457.915175
21-03-02,37977260.910453
21-03-03,37544663.376048
21-03-04,37957139.046881
21-03-05,38514728.369645
21-03-06,39250468.807334
21-03-07,39806544.556622
21-03-08,39880101.573417
21-03-09,39532033.03456
21-03-10,39230694.720597
