Date,Price
21-02-09,2947831.408762
21-02-10,2939290.28089
21-02-11,2918034.1465899996
21-02-12,2910815.120425
21-02-13,2895705.154726
21-02-14,2890869.162349
21-02-15,2884707.731083
21-02-16,2854478.997004
21-02-17,2825697.163567
21-02-18,2820497.919763
21-02-19,2831993.6149299997
21-02-20,2837653.224301
21-02-21,2829584.386288
21-02-22,2813696.3081320003
21-02-23,2782034.019757
21-02-24,2722772.504968
21-02-25,2671803.693316
21-02-26,2603256.8352489998
21-02-27,2471029.567744
21-02-28,2375582.7277
21-03-01,2327984.74618
21-03-02,2253082.001086
21-03-03,2122244.44735756
21-03-04,2034335.1667143998
21-03-05,2228323.7156839
21-03-06,2572325.593393
21-03-07,2741827.053139
21-03-08,2793582.5322009996
21-03-09,2694229.088293
21-03-10,2594885.867929
